contig_id	length	gc_perc	cds_coding_density	checkv_quality	checkv_completeness	checkv_contamination	provirus	checkv_gene_count	checkv_viral_genes	checkv_host_genes	total_votes	genomad_hit	genomad_score	dvf_hit	dvf_score	genomad_taxonomy	genomad_topology	genomad_hallmarks	cds_total	cds_known	cds_unknown	cds_known_pct	phrog_head_packaging	phrog_tail	phrog_lysis	phrog_dna_metabolism	phrog_connector	phrog_integration_excision	phrog_moron_amg	phrog_other	phrog_transcription	trnas	tmrnas	crisprs	inphared_accession	inphared_mash_dist	inphared_hashes	inphared_description	inphared_host	inphared_family	inphared_ref_length	iphop_host_genus	iphop_confidence	iphop_methods	propagate_activity	propagate_cohen_d	propagate_ratio
NODE_2_length_34365_cov_3.638387_cutoff_0_type_circular	34365	0.59	89.0	Medium-quality	73.67	0.0	No	48	23	0	NA	NA	NA	NA	NA	NA	NA	NA	48	29	19	60.4	5	3	3	8	4	0	2	2	2	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_158_length_55277_cov_11.223154	55277	0.47	87.81	Medium-quality	70.63	0.0	No	56	5	9	2	1	0.7532	1	0.9850896596908569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	56	18	38	32.1	2	2	3	2	0	4	2	2	1	0	0	0	MN270279	0.145727	24/1000	Streptococcus phage phi-SsuZKB4_rum	Streptococcus	Unclassified	110533	NA	NA	NA	NA	NA	NA
metaspades_NODE_4130_length_4095_cov_2.659406	4095	0.38	90.06	Medium-quality	64.38	0.0	No	5	3	0	2	1	0.9809	1	0.9989917278289795	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	No terminal repeats	1	5	3	2	60.0	1	1	0	1	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1351_length_12052_cov_6.698508	12052	0.41	97.7	Low-quality	39.93	0.0	No	15	11	0	2	1	0.9822	1	0.989669680595398	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	11	15	10	5	66.7	4	2	0	0	4	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1413_length_11604_cov_3.256472	11604	0.42	97.94	Low-quality	35.43	0.0	No	17	14	0	2	1	0.9825	1	0.954542875289917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	7	17	10	7	58.8	2	4	0	0	4	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_841_length_18046_cov_3.780112	18046	0.38	94.23	Low-quality	35.13	0.0	No	18	5	0	2	1	0.98	1	0.9965255260467529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	18	5	13	27.8	0	4	1	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_251_length_42023_cov_4.245091	42023	0.36	78.08	Low-quality	29.41	0.0	No	45	2	1	2	1	0.9002	1	0.9931944608688354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	45	13	32	28.9	1	1	1	4	0	3	2	0	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_871_length_17486_cov_5.805519	17486	0.39	91.08	Low-quality	29.4	0.0	No	31	4	1	2	1	0.9779	1	0.9934059381484985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	6	31	6	25	19.4	3	1	0	0	0	0	1	0	1	1	0	0	PQ571275	0.147707	23/1000	Bacteroides phage BS-TP2	Bacteroides	Unclassified	57555	Bacteroides	95.9	iPHoP-RF;97.10	NA	NA	NA
metaspades_NODE_627_length_22528_cov_3.910871	22528	0.47	93.41	Low-quality	28.46	22.38	Yes	28	13	3	2	1	0.9807	1	0.9999969601631165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	4	28	16	12	57.1	9	3	0	0	2	0	0	2	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_13569_length_1584_cov_2.248528	1584	0.36	84.85	Low-quality	25.74	0.0	No	3	1	0	2	1	0.9787	1	1.0	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	No terminal repeats	1	3	1	2	33.3	1	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
