contig_id	length	gc_perc	cds_coding_density	checkv_quality	checkv_completeness	checkv_contamination	provirus	checkv_gene_count	checkv_viral_genes	checkv_host_genes	total_votes	genomad_hit	genomad_score	dvf_hit	dvf_score	genomad_taxonomy	genomad_topology	genomad_hallmarks	cds_total	cds_known	cds_unknown	cds_known_pct	phrog_head_packaging	phrog_tail	phrog_lysis	phrog_dna_metabolism	phrog_connector	phrog_integration_excision	phrog_moron_amg	phrog_other	phrog_transcription	trnas	tmrnas	crisprs	inphared_accession	inphared_mash_dist	inphared_hashes	inphared_description	inphared_host	inphared_family	inphared_ref_length	iphop_host_genus	iphop_confidence	iphop_methods	propagate_activity	propagate_cohen_d	propagate_ratio
metaspades_NODE_66_length_115071_cov_7.932140	115071	0.35	89.78	High-quality	100.0	0.0	No	154	14	6	2	1	0.9693	1	0.9957679510116577	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	12	154	39	115	25.3	5	4	0	22	0	2	2	3	1	7	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_18_length_45851_cov_38.111876_cutoff_5_type_linears	45851	0.44	91.36	High-quality	99.8	0.0	No	52	4	1	NA	NA	NA	NA	NA	NA	NA	NA	52	9	43	17.3	1	0	1	2	0	1	1	2	1	0	0	0	PQ571279	0.0427316	256/1000	Bacteroides phage BT-TP2	Bacteroides	Unclassified	45224	NA	NA	NA	NA	NA	NA
metaviral_NODE_5_length_91194_cov_26.695271_cutoff_5_type_linears	91194	0.35	88.56	High-quality	99.39	0.0	No	123	22	2	2	1	0.9645	1	0.9999995827674866	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	9	123	35	88	28.5	2	7	2	14	1	0	5	4	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_5_length_91194_cov_26.695271_cutoff_5_type_linears	91194	0.35	88.56	High-quality	99.39	0.0	No	123	22	2	NA	NA	NA	NA	NA	NA	NA	NA	123	35	88	28.5	2	7	2	14	1	0	5	4	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_369_length_46855_cov_6.410171	46855	0.56	91.69	High-quality	98.72	0.0	No	73	19	1	2	1	0.9793	1	0.9953222274780273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	20	73	36	37	49.3	9	11	1	8	3	1	1	0	2	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_79_length_106348_cov_7.838381	106348	0.41	93.53	High-quality	98.12	0.0	No	143	17	3	2	1	0.9793	1	0.9999399185180664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	10	143	35	108	24.5	9	3	1	16	0	0	0	5	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_3_length_106348_cov_5.521130_cutoff_5_type_linears	106348	0.41	93.53	High-quality	98.12	0.0	No	143	17	3	NA	NA	NA	NA	NA	NA	NA	NA	143	35	108	24.5	9	3	1	16	0	0	0	5	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_506_length_38009_cov_8.438715	38009	0.31	91.62	High-quality	94.54	0.0	No	53	24	0	2	1	0.9794	1	0.9996222257614136	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	13	53	34	19	64.2	7	7	2	8	1	1	0	1	7	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_20_length_38009_cov_5.924180_cutoff_5_type_linears	38009	0.31	91.62	High-quality	94.54	0.0	No	53	24	0	NA	NA	NA	NA	NA	NA	NA	NA	53	34	19	64.2	7	7	2	8	1	1	0	1	7	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_103_length_95078_cov_5.393978	95078	0.47	88.12	Medium-quality	83.93	0.0	No	79	3	9	2	1	0.8395	1	0.9507927894592285	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	79	15	64	19.0	1	1	0	9	0	0	1	3	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_498_length_38244_cov_8.321480	38244	0.47	93.26	Medium-quality	83.05	0.0	No	52	14	1	2	1	0.9818	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	7	52	25	27	48.1	6	2	2	6	2	1	2	3	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_16_length_4557_cov_7.245312_cutoff_0_type_circular	4557	0.59	59.71	Medium-quality	68.95	0.0	No	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6	1	5	16.7	0	0	0	0	0	1	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_10_length_59280_cov_5.722328_cutoff_5_type_linears	59280	0.36	86.13	Medium-quality	63.96	0.0	No	50	0	45	NA	NA	NA	NA	NA	NA	NA	NA	50	11	39	22.0	0	1	0	1	0	0	7	1	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_294_length_55741_cov_5.965934	55741	0.31	96.63	Medium-quality	59.83	0.0	No	36	8	0	2	1	0.9823	1	0.9999805092811584	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	No terminal repeats	0	36	12	24	33.3	1	0	0	9	0	0	0	2	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1367_length_17929_cov_3.718921	17929	0.46	95.16	Medium-quality	51.48	0.0	No	35	10	1	2	1	0.9788	1	0.999946653842926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	8	35	14	21	40.0	4	2	0	5	3	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1081_length_21571_cov_4.655605	21571	0.29	94.79	Low-quality	48.88	0.0	No	31	22	0	2	1	0.9745	1	0.9996002912521362	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	11	31	19	12	61.3	6	8	1	0	2	0	0	1	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_587_length_34303_cov_23.272162	34303	0.39	93.43	Low-quality	48.44	0.0	No	48	6	0	2	1	0.9725	1	0.9529737234115601	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	4	48	14	34	29.2	2	3	0	5	0	0	0	2	2	0	0	0	OY731433	0.0671564	139/1000	Bacteroides phage LoVEphage	Bacteroides	Unclassified	71258	Bacteroides	95.9	iPHoP-RF;97.10	NA	NA	NA
metaspades_NODE_691_length_30172_cov_4.396421	30172	0.4	94.49	Low-quality	46.4	12.01	Yes	61	9	4	2	1	0.9743	1	0.9320262670516968	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	61	11	50	18.0	0	0	0	2	0	1	1	3	4	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_15587_length_2271_cov_2.117329	2271	0.38	87.14	Low-quality	35.92	0.0	No	4	1	0	2	1	0.9811	1	0.9998844861984253	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	No terminal repeats	1	4	1	3	25.0	1	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_876_length_25302_cov_20.294926	25302	0.4	92.57	Low-quality	35.87	0.0	No	41	5	0	2	1	0.9743	1	0.9344257712364197	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	3	41	13	28	31.7	1	2	0	5	0	0	0	3	2	0	0	0	MW660583	0.0436329	250/1000	Bacteroides phage LoVEphage	Bacteroides	Unclassified	71495	Bacteroides	94.9	iPHoP-RF;96.40	NA	NA	NA
metaspades_NODE_2514_length_11008_cov_4.046745	11008	0.27	90.18	Low-quality	31.22	0.0	No	24	5	0	2	1	0.9732	1	0.9975555539131165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	6	24	7	17	29.2	4	0	0	1	2	0	0	0	0	1	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
